State,2010,2008,2007,2006,2004,2000,1990,1950,1900,1790
Alabama,4779736,4627851,4661900,4599000,4530182,4447100,4040587,3061743,1828697,0
Alaska,710231,686293,683478,670000,655435,626932,550043,128643,63592,0
Arizona,6329017,6500180,6338755,6166000,5743834,5130632,3665228,749587,122931,0
Arkansas,2915918,2855390,2834797,2811000,2752629,2673400,2350725,1909511,1311564,0
California,37253956,36756666,36553215,36458000,35893799,33871648,29760021,10586223,1485053,0
Colorado,5029196,4861515,4939456,4753000,4601403,4301261,3294394,1325089,539700,0
Connecticut,3518288,3574097,3502309,3505000,3503604,3405565,3287116,2007280,908420,237946
Delaware,897934,873092,864764,853000,830364,783600,666168,318085,184735,59096
Florida,18801310,18328340,18251243,18090000,17397161,15982378,12937926,2771305,528542,0
Georgia,9687653,9685744,9544750,9364000,8829383,8186453,6478216,3444578,2216331,82548
Hawaii,1360301,1288198,1283388,1285000,1262840,1211537,1108229,499794,154001,0
Idaho,1567582,1523816,1499402,1466000,1393262,1293953,1006749,588637,161772,0
Illinois,12830632,12901563,12852548,12832000,12713634,12419293,11430602,8712176,4821550,0
Indiana,6483802,6376792,6345289,6314000,6237569,6080485,5544159,3934224,2516462,0
Iowa,3046355,3002555,2988046,2982000,2954451,2926324,2776755,2621073,2231853,0
Kansas,2853118,2802134,2775997,2764000,2735502,2688418,2477574,1905299,1470495,0
Kentucky,4339367,4269245,4241474,4206000,4145922,4041769,3685296,2944806,2147174,73677
Louisiana,4533372,4410796,4293204,4288000,4515770,4468976,4219973,2683516,1381625,0
Maine,1328361,1316456,1317207,1322000,1317253,1274923,1227928,913774,694466,96540
Maryland,5773552,5633597,5618344,5616000,5558058,5296486,4781468,2343001,1188044,319728
Massachusetts,6547629,6497967,6449755,6437000,6416505,6349097,6016425,4690514,2805346,378787
Michigan,9883640,10003422,10071822,10096000,10112620,9938444,9295297,6371766,2420982,0
Minnesota,5303925,5220393,5197621,5167000,5100958,4919479,4375099,2982483,1751394,0
Mississippi,2967297,2938618,2918785,2911000,2902966,2844658,2573216,2178914,1551270,0
Missouri,5988927,5911605,5878415,5843000,5754618,5595211,5117073,3954653,3106665,0
Montana,989415,967440,957861,945000,926865,902195,799065,591024,243329,0
Nebraska,1826341,1783432,1774571,1768000,1747214,1711263,1578385,1325510,1066300,0
Nevada,2700551,2600167,2565382,2496000,2334771,1998257,1201833,160083,42335,0
New Hampshire,1316470,1315809,1315828,1315000,1299500,1235786,1109252,533242,411588,141885
New Jersey,8791894,8682661,8685920,8725000,8698879,8414350,7730188,4835329,1883669,184139
New Mexico,2059179,1984356,1969915,1955000,1903289,1819046,1515069,681187,195310,0
New York,19378102,19490297,19297729,19306000,19227088,18976457,17990455,14830192,7268894,340120
North Carolina,9535483,9222414,9061032,8857000,8541221,8049313,6628637,4061929,1893810,393751
North Dakota,672591,641481,639715,636000,634366,642200,638800,619636,319146,0
Ohio,11536504,11485910,11466917,11478000,11459011,11353140,10847115,7946627,4157545,0
Oklahoma,3751351,3642361,3617316,3579000,3523553,3450654,3145585,2233351,7903912,0
Oregon,3831074,3790060,3747455,3701000,3594586,3421399,2842321,1521341,413536,0
Pennsylvania,12702379,12448279,12432792,12441000,12406292,12281054,11881643,10498012,6302115,434373
Rhode Island,1052567,1050788,1057832,1068000,1080632,1048319,1003464,791896,428556,68825
South Carolina,4625364,4479800,4407709,4321000,4198068,4012012,3486703,2117027,1340316,249073
South Dakota,814180,804194,796214,782000,770883,754844,696004,652740,401570,0
Tennessee,6346105,6214888,6156719,6039000,5900962,5689283,4877185,3291718,2020616,35691
Texas,25145561,24326974,23904380,23508000,22490022,20851820,16986510,7711194,3048710,0
Utah,2763885,2736424,2645330,2550000,2389039,2233169,1722850,688862,276749,0
Vermont,625741,621270,621254,624000,621394,608827,562758,377747,343641,85425
Virginia,8001024,7769089,7712091,7643000,7459827,7078515,6187358,3318680,1854184,7476103
Washington,6724540,6549224,6468424,6396000,6203788,5894121,4866692,2378963,518103,0
West Virginia,1852994,1814468,1812035,1818000,1815354,1808344,1793477,2005552,958800,0
Wisconsin,5686986,5627967,5601640,5557000,5509026,5363675,4891769,3434575,2069042,0
Wyoming,563626,532668,522830,515000,506529,493782,453588,290529,92531,0
